0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.2,BoneVRepeat,128,257,95,0,210,8,120,
0,BoneVRepeat,128,366,20,0,210,8,120,
0,BoneVRepeat,503,257,95,2,210,8,120,
0,BoneVRepeat,503,366,20,2,210,8,120,
6,HeartMode,1,,,,,,,
0,GasterBlaster,1,0,0,525,350,180,1,0.1
0.3,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,0,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,PlatformRepeat,100,350,40,180,100,1,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,GasterBlaster,1,0,0,525,325,180,1.1,0.1
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,PlatformRepeat,100,350,40,180,100,1,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,GasterBlaster,1,0,0,525,325,180,1.3,0.1
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,PlatformRepeat,100,350,40,180,100,1,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,GasterBlaster,1,0,0,525,325,180,1.5,0.1
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,PlatformRepeat,100,350,40,180,100,1,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,GasterBlaster,1,0,0,525,325,180,1.7,0.1
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0.1,BoneV,0,350,180,180,100,0,,
0,PlatformRepeat,100,350,40,180,100,1,,
0.1,PlatformRepeat,100,350,40,180,100,1,,
2,Endattack,,,,,,,,
