0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,-10,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,22,$gin,1.7,,,,,
0,ADD,gin,$gin,0.015,,,,,
0.07777,JMPL,4,$gt,190,,,,,
1,SansSlam,2,,,,,,,
0,HandLeft,,,,,,,,
0.03333,BoneStab,2,48,0.6,0.5,,,,
1,SansSlam,3,,,,,,,
0.03333,BoneStab,3,48,0.6,0.5,,,,
1,SansSlam,1,,,,,,,
0.03333,BoneStab,1,48,0.6,0.5,,,,
1,SansSlam,0,,,,,,,
0.03333,BoneStab,0,48,0.6,0.5,,,,
1,SansSlam,2,,,,,,,
0.03333,BoneStab,2,48,0.6,0.5,,,,
1,SansSlam,3,,,,,,,
0.03333,BoneStab,3,48,0.6,0.5,,,,
1,SansSlam,2,,,,,,,
0.03333,BoneStab,2,48,0.6,0.5,,,,
1,SansSlam,1,,,,,,,
0.03333,BoneStab,1,48,0.6,0.5,,,,
0,HeartMode,0,,,,,,,
0,Sound,Ding,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.1,GasterBlaster,0.5,0,0,$HeartX,175,90,0.1,0.2
